food_type,moisture,pH,brix,protein,storage_temp,water_activity,packaging_o2,shelf_life_days
rice,84.94753122508104,4.567877908104778,10.722370450478309,8.094076082511586,15.599642085415862,0.8780512417338158,11.478728189725409,16.99302657773795
cheese,75.82051612402326,5.003070754381041,9.318444537212066,5.7172680464187575,0.965944758060636,0.9272496290382145,7.128953411434369,35.61733650205525
cheese,54.0716942059486,4.94890224122753,16.591694646573764,6.707214249752436,8.610040041089164,0.99,4.833927537730667,42.074300769672114
yogurt,80.38829671634976,5.24239093804918,1.0,9.473565373870825,6.813645465108381,0.951694447168438,1.9510055771008088,19.0102596093835
yogurt,78.52807386828977,3.378242756374198,11.53457079661416,7.771584912966513,0.0,0.8753294076058096,11.50618249875795,10.056127764346696
yogurt,65.37699074362168,5.077204757835525,7.226412903862447,1.9474217658245931,13.562134188887931,0.9371490733913218,8.485257842161792,15.805906695605032
cheese,56.01427467183719,5.4513287081215855,9.763201169191593,4.360720978736197,15.689082180927894,0.9396062361550664,5.073828956416373,38.388024690711106
yogurt,68.68730700743748,5.5507610183632545,12.542921688872378,5.971558171402029,7.7915903304147305,0.9098472910534473,6.370670112431116,27.009944094036292
yogurt,76.9098973190798,4.58864648843062,5.898919533199156,2.5472541037254843,0.0,0.891792542773842,6.699424272338412,18.44233560977773
juice,62.93681538296525,4.828564390458661,7.186302332097164,3.176321686393139,0.7634506387929936,0.9513823470614281,7.112755527094805,22.452790925597203
juice,57.979513235415595,5.213440960929619,7.772323367942427,10.588445053202028,9.85353417683749,0.8867494504088994,8.439065929681952,23.742066672544354
juice,68.38494441297662,4.24667632774106,10.689966054960747,4.305017890709307,21.52961009812807,0.8640193087714284,7.5996792094618115,4.896814094819506
yogurt,51.94843920181198,5.898838824071561,12.029380914316308,0.2,11.39313758338981,0.7974623961847606,5.982043688821133,27.370245911610535
yogurt,57.054089689317436,5.77032038588434,8.828784470411335,8.85938673817309,17.11196225492509,0.8998354359551572,5.315185929021504,23.762111741688873
rice,58.979505201760354,5.113258644603829,16.656981644660096,8.291515406487413,10.54867421868868,0.8990746878538766,6.4186270206417175,42.17658979493578
cheese,57.301450501593486,5.59639547324989,10.789641678556725,10.401430643734532,13.340683364905408,0.9297665452553437,5.960770058489915,41.949399702948554
juice,79.85572162855881,4.432845112787106,19.294261069626657,16.97083847587988,1.5945101833206436,0.8986967415158499,4.899250899474441,20.23787000614031
juice,58.25994158868083,4.1975773871734186,2.209744620298276,3.3109431066340442,8.43754533053601,0.9628219465337039,3.347993008106241,17.522580562315625
rice,84.15490236118164,5.287366005447528,7.699046529999075,0.2,8.142834310573043,0.9451750587682091,13.42261564136002,25.395151034016678
yogurt,85.04250709451341,4.443345535491399,7.857456614816053,14.749363044043774,14.719150177384606,0.9562794116652377,3.793001087560423,5.776634930527633
yogurt,50.263078824833315,4.189943263413186,4.409632208022723,1.381941862456649,16.813839466823065,0.9340269424566807,5.3250015764835155,13.691342577577608
rice,71.99049690839082,4.6091379909353,11.27878185714299,8.597406091049997,3.3650814470942376,0.9601960488833967,5.223941077898357,36.04560674559017
rice,41.58783471832948,3.733253294407777,2.9569210875237855,2.622980021915927,0.0,0.9367222582187198,10.231074495374607,31.64661108027379
juice,75.8841093300771,3.3601927218211665,5.595242501866177,6.189596845679318,4.535777795473348,0.9568255220308214,5.056841342085817,8.112661409321914
sauce,48.87197935501843,4.9175321342062555,5.082998695332773,0.2,6.039634253112868,0.8651010533442898,5.675805000564039,38.40861468755724
sauce,61.753581443129676,3.0,16.072103389714233,1.5989809643542954,18.06711634054467,0.7525509515915776,4.635411828679627,15.595702774723335
sauce,64.92290381419366,3.7290528006880566,10.051313023682022,6.024177436938715,8.366625397397959,0.99,8.58185419700911,19.24946098084307
yogurt,74.65298256529935,4.1220746811422595,18.04235401230821,0.2,7.216880041178964,0.9595654256458486,10.703863780259502,11.272905558668908
cheese,68.30801419793963,6.028308373508232,13.28680992200696,5.2876601717190725,0.06922637259485398,0.9434471590252977,9.643654768285556,46.16744795950188
yogurt,45.6947071154162,4.370092894341935,10.187912795795393,9.396537925696961,11.55419618724842,0.9779493658403222,0.5,30.929474907668656
cheese,57.65591858925729,4.491913273818649,6.5365939567078994,10.25356823054866,7.466539958828204,0.9268834087667914,5.2055279508426775,39.419339678192664
rice,58.84430169342072,5.4179995089196185,12.971007285396416,1.9480109599238529,10.851531505135513,0.99,5.7985987337957345,33.755713679014846
rice,56.32302110335279,5.946283579804514,12.334681750460872,6.149850810206911,13.427167682416101,0.8608713840773332,5.3814728723096845,35.08540946212808
juice,68.37831019325198,3.562962944562992,10.457425254353588,4.8306880469613995,10.797742679439112,0.9681566986528082,6.138147088680538,6.00707258469314
cheese,95.0,4.92947020799454,10.889817513900494,3.876736324129737,10.79403990034754,0.8788238328161018,2.2605657714627814,24.749916280117382
sauce,45.49361760698461,4.612477575634825,4.218287544374049,7.812167161658766,10.097920548328007,0.9822115305040021,9.1042007167895,35.20087532931513
juice,74.99811168657362,4.057558908477468,18.6635442716463,2.0794842423544986,2.0072632369734618,0.9179504564447821,9.050820691207438,14.361118316866623
rice,69.43525343477461,4.2227135452297935,15.45847151899516,8.283252369699218,6.007805245823708,0.99,2.125510540457828,31.124132141591662
cheese,59.433144270470194,5.422746745141484,18.010473217732606,0.2,12.338457226108654,0.8937883047755916,0.9920551966160951,43.80294450695325
rice,65.81031923091626,5.656991049021408,2.9288921048238987,2.990792005759447,13.081171176759254,0.9760123071383048,3.340765102506957,32.409534553195236
sauce,67.6265037497001,4.607000727574493,13.531097848247835,6.367099018041468,10.103924404612124,0.9297239411240571,0.6045778120175926,30.064173292100115
sauce,69.09829711488797,4.183257622719892,17.23361558935804,3.2499563437567476,2.8488158504765444,0.9118438357571986,1.6265594863846262,31.1358442853799
cheese,86.13689322472814,4.9808157832875075,10.702892673080312,3.5383917174648682,11.087609114088108,0.8792110206570498,8.452085527007387,26.3378106525634
